type,offset,n,median_car
A1_무상증자,-10,254,0.04357794207738541
A1_무상증자,-9,254,0.15227710736196443
A1_무상증자,-8,254,0.24753236925635935
A1_무상증자,-7,254,0.5761157285543661
A1_무상증자,-6,254,0.8778330689247666
A1_무상증자,-5,251,1.5376214669023391
A1_무상증자,-4,250,2.2780153267607157
A1_무상증자,-3,250,2.2851600732349207
A1_무상증자,-2,249,3.3690112130479233
A1_무상증자,-1,248,5.029981516083981
A1_무상증자,0,248,9.947651987556604
A1_무상증자,1,248,12.330290835063368
A1_무상증자,2,248,12.779565462083191
A1_무상증자,3,248,11.769029824581446
A1_무상증자,4,248,12.741536666033177
A1_무상증자,5,248,12.627340852252445
A1_무상증자,6,248,12.6043632930966
A1_무상증자,7,247,12.98653712574711
A1_무상증자,8,247,11.515464447577267
A1_무상증자,9,247,10.991251821535254
A1_무상증자,10,246,-20.04018445322788
A2_자기주식취득,-10,2300,-0.03168491987793898
A2_자기주식취득,-9,2298,-0.11390431806559409
A2_자기주식취득,-8,2295,-0.13422818791947178
A2_자기주식취득,-7,2293,-0.23830378245890405
A2_자기주식취득,-6,2290,-0.3446613369222469
A2_자기주식취득,-5,2288,-0.36582085991256363
A2_자기주식취득,-4,2285,-0.6002277233553843
A2_자기주식취득,-3,2282,-0.5915905743999084
A2_자기주식취득,-2,2279,-0.7359186622887481
A2_자기주식취득,-1,2276,-0.7550619461915105
A2_자기주식취득,0,2272,0.6485106924074779
A2_자기주식취득,1,2269,2.3231342438742253
A2_자기주식취득,2,2264,2.588407308809984
A2_자기주식취득,3,2259,2.8260342598577903
A2_자기주식취득,4,2258,2.9922445875652293
A2_자기주식취득,5,2254,3.3208082460482844
A2_자기주식취득,6,2249,3.34507042253519
A2_자기주식취득,7,2244,3.424063460414123
A2_자기주식취득,8,2242,3.696413025448475
A2_자기주식취득,9,2238,3.7689921555708077
A2_자기주식취득,10,2232,3.777079171826736
A3_주식소각,-10,1024,0.005519067212092499
A3_주식소각,-9,1023,0.02942970965079672
A3_주식소각,-8,1023,0.1504214601999565
A3_주식소각,-7,1023,0.17249103942649224
A3_주식소각,-6,1022,0.20744185011583594
A3_주식소각,-5,1021,0.1903611452919618
A3_주식소각,-4,1020,0.32372508610847817
A3_주식소각,-3,1019,0.44503974662918333
A3_주식소각,-2,1016,0.44631267770064986
A3_주식소각,-1,1014,0.6088505139897227
A3_주식소각,0,1014,1.294270911685175
A3_주식소각,1,1012,1.9227842549790068
A3_주식소각,2,1010,1.5324211152543348
A3_주식소각,3,1007,1.584497445894435
A3_주식소각,4,1004,1.7272134910941983
A3_주식소각,5,999,1.361879753263806
A3_주식소각,6,994,1.1435585532455357
A3_주식소각,7,985,1.2581035806157326
A3_주식소각,8,982,1.1859457748628652
A3_주식소각,9,978,1.346350011930847
A3_주식소각,10,974,1.416758522620335
B1_공급계약,-10,6722,-0.026019543455785277
B1_공급계약,-9,6715,-0.001381994273019771
B1_공급계약,-8,6710,0.02611673209311216
B1_공급계약,-7,6699,0
B1_공급계약,-6,6693,0
B1_공급계약,-5,6688,0
B1_공급계약,-4,6676,-0.019785477479200564
B1_공급계약,-3,6666,-0.008447462025357177
B1_공급계약,-2,6653,0
B1_공급계약,-1,6646,0.07456970758881742
B1_공급계약,0,6639,0.8786500445027712
B1_공급계약,1,6623,0.9163347859955984
B1_공급계약,2,6612,0.7555369821215019
B1_공급계약,3,6602,0.8391977499715009
B1_공급계약,4,6589,0.8299595141701088
